"#id houseGridSketch aNewClueClipping allowanceNote antechamberMap antechamberNote antechamberNote2","Name House Grid Sketch A New Clue Clipping Allowance Note Antechamber Map Antechamber Note Antechamber Note 2","Note Name 45 Rooms Note A New Clue Clipping Allowance Note Antechamber Entry Controls Antechamber Note Antechamber Note (Monk)","Location room:out005:Hovel room:sho006:Bookshop room:gre004:Cloister room:blu045:Antechamber room:blu045:Antechamber","Description ","Pages ","Parsed text REDDINGTON HERALD\n""A NEW CLUE"" SOLD OUT IN HOURS\nIt should come as no surprise that\r\nthe latest book from local author\r\nMarion Marigold is breaking literary\nrecords and making headlines even\nin absentia. The release of her new\nbook, \""A New Clue\"", comes only \nfourteen months after the distressful\nreport of the author's mysterious\nand unexplained disappearance.\r\n     Her current publisher has issued a statement debunking the conspiracy theories surrounding the book's recent announcement stating \""The writing of the book was completed and well into the editing stages many months before [the disappearance].\""  In addition, the publisher has revealed that all of the proceeds from first edition sales of \""A New Clue\"" will be going to LASTING HOPE, a non-profit organization that aims to provide resources and intel in the investigations of missing persons. Still, the timing and  conveniently mysterious title of Marigold's third book has left many cynics denouncing the book and her disappearance as a cheap publicity stunt. Detective Bon Margle, who\nmany theorize may have been the inspiration for \""A New Clue\"", was quoted only saying that the book was \""unintentionally accurate.\""\n     Regardless of their opinions, fans, pundits and cynics alike were standing together, elbow to elbow in bookshop queues this morning eager to get their hands on what may\n   very likely be the last words ever published by the missing author. thaw only in the event of my death\n\nSimon,\nI had wished for you to read this letter upon first arriving at Mt. Holly but I couldn't risk the contents of these pages falling into unsympathetic hands.\n\nMy personal freezer should prove quite the safebox, as all of the staff have for many years respected my wishes that it remain shut and untampered. (My favorite snacks were also stored here!)\n \nBut in addition to these delicious treats, it has also for the last 20 years stored many a cryptic message and ciphered note. This nondescript cooler is, in fact, a dubious frozen postbox of chilled secrets.\n\nHave you heard of the Children of Black ?\n\nI have no idea how forthcoming your father has been about the details surrounding your mother's final chapter... or the role he thinks I played in that end. I have always denied involvement. To him. To the detectives. To the crown. And now to you as well.\n\nBut can I honestly say I had nothing to do with her disappearance? And yes, I speak of disappearance, not death. For I, too, cling to the hope that our fears are unfounded, and have occasionally, from time to time, caught fragments of information that bolster this belief.\n\nFragments of information that have cost me plenty, for our country is never short of opportunists and blackmailers.\n\nStill, as I am now dead, I don't want this knowledge to be buried with me, even if that means passing the burden of these fragments onto you. Even if that information may weigh even heavier on your head than the crown involved.\n\nUnfortunately, this information is a little too precious to entrust entirely to this freezer as I'm not too confident that the sanctity of my snacks will extend beyond my life! I've always found it best to use multiple baskets when it comes to incriminating eggs; a lesson that I recently learned again when a member of my staff betrayed my confidence.\n \nI have placed eight red envelopes in eight even more secure locations throughout the estate and left a hidden message for you among the art that hangs in almost every room in this house. This message is the key to unlocking these secrets, but you must be open in your interpretation, as the message itself harbors multiple double meanings and hidden entendres.One final word of advice:\n\nDo not assume the rooms you find today will be the same rooms you find tomorrow. These grounds have provided me a home for the last half century and even I am uncertain of which room lies beyond any particular door.\n\nYour grandmother used to say, \""Don't go where the path leads. Abandon the path and go where you want it to lead.\n\n_ _   _ _\n_ _ _ _ _\n_ _ _ _ _\n_ _ _ _ _,\n_ _ _ _ _\n_ _ _ _ _\n_ _ _ _ _\n_ _ _ _ _\n_ _ _ _ _ To continue up, you must go down. So close,\nyet so far away","Magnifier Parsed Text ","Comments Before Patch 1.04, the article previously said ""The release of her new book, 'A New Clue', comes only four months after the distressful report of the author's mysterious and unexplained disappearance."" ","Coverage ","Content Tags ","","","","","","","","","","","","","","know:houseGridSketch know:aNewClueClipping know:allowanceNote know:antechamberMap know:antechamberNote know:antechamberNote2"
"conferenceNotepad","Conference Notepad","Conference Notepad","room:blu043:Conference Room","","","<size=7><i><b>REMINDER</b></size>\nAFTER MEETING adjourns,\nTAKE ALL CONFERENCE \nNOTES AND PLACE THEM IN\nTHE OFFICE SAFE","","","","","","","","","","","","","","","","","","know:conferenceNotepad"
"chessScribbling","Chess Scribbling","Cracked Wall","room:zoneSafe:Safehouse","","","","","","","","","","","","","","","","","","","","","know:chessScribbling"
"dadLetter","Dad Letter","Dad Letter","room:blu039:Mail Room","","4","<size=4.6>Dad</size>\n\n<size=2.8>1809 Alice Dr.</size>\n\n\nFenn Aries 63022\n\n<size=4>Simon P. Jones</size>\n<size=3.8>Mount Holly Estate</size>\nFenn Aries 63080\n\nS K B\n 6 7 8 9\n\nHey buddy,\n\nHow's it going up there in that big house? I think most people would be pretty scared being alone for this length of time, but I have a feeling you’re doing just fine. I imagine you happy as a clam, perfectly content on the estate with the exploration and opportunities for adventure that present themselves each day.\n\nAs I’m writing this, you’re currently in the garage packing the tent. I wanted to try to post this letter before we depart tomorrow so that it has a chance to arrive during your first few days on the estate, but with all the preparations, I’m not sure that I'm going to find the time.\n\nThere’s so much I want to say, and I’m sure I’ll forget to tell you Friday night. Sometimes it’s easier for me to just jot this stuff down.\n\nYou’re yelling at me right now to come bring you a pillowcase! Hold on a second— I’ll be right back...\n\nI can tell you’re really excited, but I think you might feel a little guilty about being so happy the day after the funeral. Believe me, I know how long Uncle Herbert worked on setting this up for you. And I know from our conversations just how much happiness this final project brought him. So do both of us a favor. Be excited.\n\nThe house really is amazing. I know it's been almost seven years since we were last up there, and I’m really curious to hear just how much you remember from those summer trips.\n\nYou’ve always been smarter than me at this kind of thing, so I’m not sure how much guidance or inspiration I can offer before your trip that will actually be useful to you. Despite my best intentions, I’m sure that on Friday, I’ll end up leaving you with a few of my overused cliché expressions when we say farewell.\n\n\nLater Alligator,\n                              <size=7>Dad</size>\n\np.s. get some sleep each night and don't spend all\nyour time each day playing Dirigiblocks","","","","","","","","","","","","","","","","","","know:dadLetter"
"dareLetter","Dare Letter","Dare Letter","","","2","open only if you DARE","","","","","","","","","","","","","","","","","","know:dareLetter"
"darkAnne1","Dark Anne 1","Darkroom: Anne","room:red006:Darkroom","","","","","","","","","","","","","","","","","","","","","know:darkAnne1"
"darkHartley1","Dark Hartley 1","Darkroom: Hartley","room:red006:Darkroom","","","","","","","","","","","","","","","","","","","","","know:darkHartley1"
"darkHartley2","Dark Hartley 2","Darkroom: Hartley 2","room:red006:Darkroom","","","","","","","","","","","","","","","","","","","","","know:darkHartley2"
"ladyEpsen1","Lady Epsen 1","Darkroom: Lady Epsen Photo","room:red006:Darkroom","","","","","","","","","","","","","","","","","","","","","know:ladyEpsen1"
"darkMaids1","Dark Maids 1","Darkroom: Maids","room:red006:Darkroom","","","","","","","","","","","","","","","","","","","","","know:darkMaids1"
"darkMaids2","Dark Maids 2","Darkroom: Maids 2","room:red006:Darkroom","","","","","","","","","","","","","","","","","","","","","know:darkMaids2"
"darkMaids3","Dark Maids 3","Darkroom: Maids 3","room:red006:Darkroom","","","","","","","","","","","","","","","","","","","","","know:darkMaids3"
"printNotes","Print Notes","Darkroom: Print Notes","room:red006:Darkroom","","","H.S.  has requested yet another print of her Ladyship, I assume for one of her rooms in the West Wing, as well as an enlarged print of the enclosed photograph.\n\nHe said the last development was too dark so keep an eye on that.","","","0.9565217391","","","","","","","","","","","","","","","know:printNotes"
"sinclair1","Sinclair 1","Darkroom: Sinclair","room:red006:Darkroom","","","","","","","","","","","","","","","","","","","","","know:sinclair1"
"sinclair1Hot","Sinclair 1 Hot","Darkroom: Sinclair 2","room:red006:Darkroom","","","","","","","","","","","","","","","","","","","","","know:sinclair1Hot"
"sinclair2","Sinclair 2","Darkroom: Sinclair 3","room:red006:Darkroom","","","","","","","","","","","","","","","","","","","","","know:sinclair2"
"sinclair3","Sinclair 3","Darkroom: Sinclair 4","room:red006:Darkroom","","","","","","","","","","","","","","","","","","","","","know:sinclair3"
"sinclair4","Sinclair 4","Darkroom: Sinclair 5","room:red006:Darkroom","","","","","","","","","","","","","","","","","","","","","know:sinclair4"
"sinclair5","Sinclair 5","Darkroom: Sinclair 6","room:red006:Darkroom","","","","","","","","","","","","","","","","","","","","","know:sinclair5"
"denoted","Denoted","Denoted in verse","room:blu015:Music Room","","","denoted in verse","","","","","","","","","","","","","","","","","","know:denoted"
"ladyshipsNote","Ladyships Note","does it never end","room:bed007:Her Ladyship's Chamber","","","does it never end?","","","1","","","","","","","","","","","","","","","know:ladyshipsNote"
"doveLetters","Dove Letters","Dove Letters","room:add001:Dovecote","","5","9 / 1 / 74\n\nDear Mother,\nIf you are reading this, that means Juni made it home safely! I imagine he's going to be quite tired after such a long flight, so make sure he gets some treats and rest. School is going well, though I do miss you terribly. Unfortunately, even though the dean gave me permission to keep my birds here on campus, I'm afraid it's getting a bit too cold for them as the semester marches on, so I've made the decision to send them all home before the winter months arrive. All that to say, expect some more letters soon!\n\nDotingly,\n            Mary\n\n9 / 28 / 74\n\nDearest Mother,\n   This should be the fifth letter you've received from me this month. Though I know statistically, it is very unlikely that every single member of my flock has found their way home. And please, please don't tell me if they didn't arrive! It's going to be hard enough now that I am truly on my own. \n     In other news, my classes have been engaging and I am slowly making friends, so please ignore the dramatic despair of my previous letter. Things are indeed looking brighter, but I still maintain that three years is too long a time to be away from home.\n\n - Mary\n\nHerbert,\n     Thank you so much for your gift of the \""wedding doves,\"" whom I, of course, recognized immediately. And, yes, I got the hint. So here's your letter. I know it's long, long overdue.\nThe mahew life suits me I think. Not that I didn't love Mount Holly, of course, but after years of being confined in a tiny dormitory, the small place Daniel and I have picked out in Reddington feels more like a stately manor! Once we've finished unpacking and setting everything up, I'll insist on you making an exception to your reclusive lifestyle to come, share a meal and admire our somwhat less impressive but much more personal view of the town.\n\n Thanks again for the card,\n                               Mary\n\nWe are returning east\nand should arrive on tuesday.\n\nif coast is not clear,\nlower the SD to warn us.","","","","","","","","","","","","","","","","","","know:doveLetters"
"conservatoryNote","Conservatory Note","Drafting Locations","room:fou003:Conservatory","","","\n<size=4.4>WEST WING ONLY</size>\n- Garage            - West Wing Hall\n- Her Ladyship's Chamber <size=2.5>(from south facing doors)</size>\n\n<size=4.4>EAST WING ONLY</size>\n- East Wing Hall      - Master Bedroom\n\n<size=4.4>OTHER SPECIAL CASES</size>\n- Conservatory <size=2.5>(only draftable in a corner)</size>\n- Bookshop <size=2.5>(only draftable from Library)</size>","","","","","","","","","","","","","","","","","","know:conservatoryNote"
"draftingCalendar","Drafting Calendar","Drafting Room Calendar","room:blu030:Drafting Studio","","","NOVEMBER\n1          2           3          4          5         6         7\n\n\n\n8          9          10         11          12         13        14\n\n\n\n\n15         16         17          18         19         20        21\n\n\n\n\n22        23         24         25          26         27       28\n\n\n\n\n29        30","","","","","","","","","","","","","","","","","","know:draftingCalendar"
"draftingstudio","Draftingstudio","Drafting Studio Note","room:blu030:Drafting Studio","","","When first I embarked upon this project, it was my intent to craft inviting rooms that might appeal to the citizens of the realm. I had even secured an arrangement with a local firm which was to oversee the mass production of the floorplans. Yet now, after walking the halls of my work, I must confess that I have grown altogether too attached to these rooms. They have become a part of me, and knowing how little regard is often shown for that which I hold sacred, I find myself unequal to the selfless task of sharing them with the world.\n\n\nI am content with this resolution, for this house and the forty-five rooms therein are more than the best work of my career. They are home.\n","","","","","","","","","","","","","","","","","","know:draftingstudio"
"entranceLetter","Entrance Letter","Entrance Letter","room:blu002:Entrance Hall","","4","open only in the event of my death","","","","","","","","","","","","","","","","","","know:entranceLetter"
